field-season,date-collected,species,sex,plot,weight,scale-not-calibrated
2013,2013-07-16,dm,f,2,,
2013,2013-07-16,dm,m,1,,
2013,2013-07-16,dm,m,3,,
2013,2013-07-16,dm,m,7,33,
2013,2013-07-18,dm,f,4,29,
2013,2013-07-18,dm,f,6,37,
2013,2013-07-18,dm,m,3,40,
2013,2013-07-18,dm,m,7,48,
2013,2013-08-19,do,f,8,52,
2013,2013-10-17,do,f,3,33,
2013,2013-10-17,do,f,3,50,
2013,2013-11-12,ds,f,9,117,
2013,2013-11-13,ds,f,4,107,
2013,2013-11-13,ds,f,4,115,
2013,2013-11-13,ds,f,11,122,
2013,2013-11-13,ds,f,11,126,
2013,2013-11-13,ds,f,14,113,x
2013,2013-11-13,ds,m,17,132,x
2013,2013-12-10,do,f,9,40,
2013,2013-12-10,do,m,1,45,
2013,2013-12-11,do,f,8,41,
2014,1978-01-08,dm,f,4,37,
2014,1978-01-08,dm,f,4,48,
2014,1978-01-08,dm,m,4,,
2014,1978-01-08,do,m,4,52,
2014,1978-01-08,ol,m,4,35,
2014,2014-01-08,dm,m,2,44,
2014,2014-01-08,dm,m,2,45,
2014,2014-01-08,ds,m,2,157,x
2014,2014-01-08,na,,2,,
2014,2014-01-08,ot,,2,,
2014,2014-01-08,ox,,2,,
2014,2014-01-08,pf,f,2,7,
2014,2014-01-09,dm,f,1,36,
2014,2014-01-09,dm,m,1,40,
2014,2014-02-18,dm,m,2,52,
2014,2014-02-18,na,m,2,218,x
2014,2014-02-18,pf,f,2,7,
2014,2014-03-11,pf,m,3,8,
2014,2014-03-13,dm,f,1,44,
2014,2014-03-13,dm,f,1,51,
2014,2014-03-13,ds,f,1,146,
2014,2014-04-08,na,f,3,,
2014,2014-05-06,,,3,,
2014,2014-05-18,na,f,3,182,
2014,2014-06-09,ot,f,3,29,
2014,2014-07-08,na,f,3,115,
2014,2014-07-08,na,m,3,190,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
